,Pokedex Number,Pokemon Name,Original Pokemon ID,Legendary Type,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type,Male Ratio,Female Ratio,Base Happiness,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Health EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV,EV Yield Total,Catch Rate,Experience Growth Total,Egg Cycle Count
176,115,"""Mega"" Kangaskhan",211.0,,2.2,100.0,Normal,Normal,0.0,100.0,70,105,125,100,60,100,100,590,2,0,0,0,0,0,2,45,1000000,20
177,116,Horsea,,,0.4,8.0,Water,Water,50.0,50.0,50,30,40,70,70,25,60,295,0,0,0,1,0,0,1,225,1000000,20
178,117,Seadra,,,1.2,25.0,Water,Water,50.0,50.0,50,55,65,95,95,45,85,440,0,0,1,1,0,0,2,75,1000000,20
179,118,Goldeen,,,0.6,15.0,Water,Water,50.0,50.0,50,45,67,60,35,50,63,320,0,1,0,0,0,0,1,225,1000000,20
180,119,Seaking,,,1.3,39.0,Water,Water,50.0,50.0,50,80,92,65,65,80,68,450,0,2,0,0,0,0,2,60,1000000,20
181,120,Staryu,,,0.8,34.5,Water,Water,0.0,0.0,50,30,45,55,70,55,85,340,0,0,0,0,0,1,1,225,1250000,20
182,121,Starmie,,,1.1,80.0,Water,Psychic,0.0,0.0,50,60,75,85,100,85,115,520,0,0,0,0,0,2,2,60,1250000,20
183,122,Mr. Mime,,,1.3,54.5,Psychic,Fairy,50.0,50.0,50,40,45,65,100,120,90,460,0,0,0,0,2,0,2,45,1000000,25
184,122,"""Galar"" Mr. Mime",218.0,,1.4,56.0,Ice,Psychic,50.0,50.0,50,50,65,65,90,90,100,460,0,0,0,0,2,0,2,45,1000000,25
185,123,Scyther,,,1.5,56.0,Bug,Flying,50.0,50.0,50,70,110,80,55,80,105,500,0,1,0,0,0,0,1,45,1000000,25
186,124,Jynx,,,1.4,40.6,Ice,Psychic,0.0,100.0,50,65,50,35,115,95,95,455,0,0,0,2,0,0,2,45,1000000,25
187,125,Electabuzz,,,1.1,30.0,Electric,Electric,75.0,25.0,50,65,83,57,95,85,105,490,0,0,0,0,0,2,2,45,1000000,25
188,126,Magmar,,,1.3,44.5,Fire,Fire,75.0,25.0,50,65,95,57,100,85,93,495,0,0,0,2,0,0,2,45,1000000,25
189,127,Pinsir,,,1.5,55.0,Bug,Bug,50.0,50.0,50,65,125,100,55,70,85,500,0,2,0,0,0,0,2,45,1250000,25
190,127,"""Mega"" Pinsir",223.0,,1.7,59.0,Bug,Flying,50.0,50.0,70,65,155,120,65,90,105,600,0,2,0,0,0,0,2,45,1250000,25
191,128,Tauros,,,1.4,88.4,Normal,Normal,100.0,0.0,50,75,100,95,40,70,110,490,0,1,0,0,0,1,2,45,1250000,20
192,128,"""Paldean Combat Breed"" Tauros",224.0,,1.4,115.0,Fighting,Fighting,100.0,0.0,70,75,110,105,30,70,100,490,0,1,0,0,0,1,2,45,1250000,20
193,128,"""Paldean Blaze Breed"" Tauros",224.0,,1.4,85.0,Fighting,Fire,100.0,0.0,70,75,110,105,30,70,100,490,0,1,0,0,0,1,2,45,1250000,20
194,128,"""Paldean Aqua Breed"" Tauros",224.0,,1.4,110.0,Fighting,Water,100.0,0.0,70,75,110,105,30,70,100,490,0,1,0,0,0,1,2,45,1250000,20
195,129,Magikarp,,,0.9,10.0,Water,Water,50.0,50.0,50,20,10,55,15,20,80,200,0,0,0,0,0,1,1,255,1250000,5
196,130,Gyarados,,,6.5,235.0,Water,Flying,50.0,50.0,50,95,125,79,60,100,81,540,0,2,0,0,0,0,2,45,1250000,5
197,130,"""Mega"" Gyarados",226.0,,6.5,305.0,Water,Dark,50.0,50.0,70,95,155,109,70,130,81,640,0,2,0,0,0,0,2,45,1250000,5
198,131,Lapras,,,2.5,220.0,Water,Ice,50.0,50.0,50,130,85,80,85,95,60,535,2,0,0,0,0,0,2,45,1250000,40
199,131,"""Gigantamax"" Lapras",227.0,,24.0,0.0,Water,Ice,50.0,50.0,50,130,85,80,85,95,60,535,2,0,0,0,0,0,2,45,1250000,40
200,132,Ditto,,,0.3,4.0,Normal,Normal,0.0,0.0,50,48,48,48,48,48,48,288,1,0,0,0,0,0,1,35,1000000,20
201,133,Eevee,,,0.3,6.5,Normal,Normal,87.5,12.5,50,55,55,50,45,65,55,325,0,0,0,0,1,0,1,45,1000000,35
202,133,"""Gigantamax"" Eevee",228.0,,18.0,0.0,Normal,Normal,87.5,12.5,50,55,55,50,45,65,55,325,0,0,0,0,1,0,1,45,1000000,35
203,133,"""Starter"" Eevee",228.0,,0.3,6.5,Normal,Normal,87.5,12.5,70,65,75,70,65,85,75,435,0,0,0,0,1,0,1,45,1000000,35
204,134,Vaporeon,,,1.0,29.0,Water,Water,87.5,12.5,50,130,65,60,110,95,65,525,2,0,0,0,0,0,2,45,1000000,35
205,135,Jolteon,,,0.8,24.5,Electric,Electric,87.5,12.5,50,65,65,60,110,95,130,525,0,0,0,0,0,2,2,45,1000000,35
206,136,Flareon,,,0.9,25.0,Fire,Fire,87.5,12.5,50,65,130,60,95,110,65,525,0,2,0,0,0,0,2,45,1000000,35
207,137,Porygon,,,0.8,36.5,Normal,Normal,0.0,0.0,50,65,60,70,85,75,40,395,0,0,0,1,0,0,1,45,1000000,20
208,138,Omanyte,,,0.4,7.5,Rock,Water,87.5,12.5,50,35,40,100,90,55,35,355,0,0,1,0,0,0,1,45,1000000,30
209,139,Omastar,,,1.0,35.0,Rock,Water,87.5,12.5,50,70,60,125,115,70,55,495,0,0,2,0,0,0,2,45,1000000,30
210,140,Kabuto,,,0.5,11.5,Rock,Water,87.5,12.5,50,30,80,90,55,45,55,355,0,0,1,0,0,0,1,45,1000000,30
211,141,Kabutops,,,1.3,40.5,Rock,Water,87.5,12.5,50,60,115,105,65,70,80,495,0,2,0,0,0,0,2,45,1000000,30
212,142,Aerodactyl,,,1.8,59.0,Rock,Flying,87.5,12.5,50,80,105,65,60,75,130,515,0,0,0,0,0,2,2,45,1250000,35
213,142,"""Mega"" Aerodactyl",237.0,,2.1,79.0,Rock,Flying,87.5,12.5,70,80,135,85,70,95,150,615,0,0,0,0,0,2,2,45,1250000,35
214,143,Snorlax,,,2.1,460.0,Normal,Normal,87.5,12.5,50,160,110,65,65,110,30,540,2,0,0,0,0,0,2,25,1250000,40
215,143,"""Gigantamax"" Snorlax",238.0,,35.0,0.0,Normal,Normal,87.5,12.5,50,160,110,65,65,110,30,540,2,0,0,0,0,0,2,25,1250000,40
216,144,Articuno,,Sub-Legendary,1.7,55.4,Ice,Flying,0.0,0.0,35,90,85,100,95,125,85,580,0,0,0,0,3,0,3,3,1250000,80
217,144,"""Galar"" Articuno",239.0,Sub-Legendary,1.7,50.9,Psychic,Flying,0.0,0.0,35,90,85,85,125,100,95,580,0,0,0,3,0,0,3,3,1250000,80
218,145,Zapdos,,Sub-Legendary,1.6,52.6,Electric,Flying,0.0,0.0,35,90,90,85,125,90,100,580,0,0,0,3,0,0,3,3,1250000,80
219,145,"""Galar"" Zapdos",240.0,Sub-Legendary,1.6,58.2,Fighting,Flying,0.0,0.0,35,90,125,90,85,90,100,580,0,3,0,0,0,0,3,3,1250000,80
220,146,Moltres,,Sub-Legendary,2.0,60.0,Fire,Flying,0.0,0.0,35,90,100,90,125,85,90,580,0,0,0,3,0,0,3,3,1250000,80
221,146,"""Galar"" Moltres",241.0,Sub-Legendary,2.0,66.0,Dark,Flying,0.0,0.0,35,90,85,90,100,125,90,580,0,0,0,0,3,0,3,3,1250000,80
222,147,Dratini,,,1.8,3.3,Dragon,Dragon,50.0,50.0,35,41,64,45,50,50,50,300,0,1,0,0,0,0,1,45,1250000,40
223,148,Dragonair,,,4.0,16.5,Dragon,Dragon,50.0,50.0,35,61,84,65,70,70,70,420,0,2,0,0,0,0,2,45,1250000,40
224,149,Dragonite,,,2.2,210.0,Dragon,Flying,50.0,50.0,35,91,134,95,100,100,80,600,0,3,0,0,0,0,3,45,1250000,40
225,150,Mewtwo,,Legendary,2.0,122.0,Psychic,Psychic,0.0,0.0,0,106,110,90,154,90,130,680,0,0,0,3,0,0,3,3,1250000,120
226,150,"""Mega X"" Mewtwo",43.0,Legendary,2.3,127.0,Psychic,Psychic,0.0,0.0,0,106,190,100,154,100,130,780,0,0,0,3,0,0,3,3,1250000,120
227,150,"""Mega Y"" Mewtwo",43.0,Legendary,1.5,33.0,Psychic,Psychic,0.0,0.0,0,106,150,70,194,120,140,780,0,0,0,3,0,0,3,3,1250000,120
228,151,Mew,,Mythical,0.4,4.0,Psychic,Psychic,0.0,0.0,100,100,100,100,100,100,100,600,3,0,0,0,0,0,3,45,1059860,120
229,152,Chikorita,,,0.9,6.4,Grass,Grass,87.5,12.5,50,45,49,65,49,65,45,318,0,0,0,0,1,0,1,45,1059860,20
230,153,Bayleef,,,1.2,15.8,Grass,Grass,87.5,12.5,50,60,62,80,63,80,60,405,0,0,1,0,1,0,2,45,1059860,20
231,154,Meganium,,,1.8,100.5,Grass,Grass,87.5,12.5,50,80,82,100,83,100,80,525,0,0,1,0,2,0,3,45,1059860,20
232,155,Cyndaquil,,,0.5,7.9,Fire,Fire,87.5,12.5,50,39,52,43,60,50,65,309,0,0,0,0,0,1,1,45,1059860,20
233,156,Quilava,,,0.9,19.0,Fire,Fire,87.5,12.5,50,58,64,58,80,65,80,405,0,0,0,1,0,1,2,45,1059860,20
234,157,Typhlosion,,,1.7,79.5,Fire,Fire,87.5,12.5,50,78,84,78,109,85,100,534,0,0,0,3,0,0,3,45,1059860,20
235,157,"""Hisui"" Typhlosion",250.0,,1.6,69.8,Fire,Ghost,87.5,12.5,50,73,84,78,119,85,95,534,0,0,0,3,0,0,3,55,1059860,20
236,157,"""Hisui"" Typhlosion",250.0,,1.6,69.8,Fire,Ghost,87.5,12.5,50,73,84,78,119,85,95,534,0,0,0,3,0,0,3,55,1059860,20
237,158,Totodile,,,0.6,9.5,Water,Water,87.5,12.5,50,50,65,64,44,48,43,314,0,1,0,0,0,0,1,45,1059860,20
238,159,Croconaw,,,1.1,25.0,Water,Water,87.5,12.5,50,65,80,80,59,63,58,405,0,1,1,0,0,0,2,45,1059860,20
239,160,Feraligatr,,,2.3,88.8,Water,Water,87.5,12.5,50,85,105,100,79,83,78,530,0,2,1,0,0,0,3,45,1059860,20
240,161,Sentret,,,0.8,6.0,Normal,Normal,50.0,50.0,50,35,46,34,35,45,20,215,0,1,0,0,0,0,1,255,1000000,15
241,162,Furret,,,1.8,32.5,Normal,Normal,50.0,50.0,50,85,76,64,45,55,90,415,0,0,0,0,0,2,2,90,1000000,15
242,163,Hoothoot,,,0.7,21.2,Normal,Flying,50.0,50.0,50,60,30,30,36,56,50,262,1,0,0,0,0,0,1,255,1000000,15
243,164,Noctowl,,,1.6,40.8,Normal,Flying,50.0,50.0,50,100,50,50,86,96,70,452,2,0,0,0,0,0,2,90,1000000,15
244,165,Ledyba,,,1.0,10.8,Bug,Flying,50.0,50.0,50,40,20,30,40,80,55,265,0,0,0,0,1,0,1,255,800000,15
245,166,Ledian,,,1.4,35.6,Bug,Flying,50.0,50.0,50,55,35,50,55,110,85,390,0,0,0,0,2,0,2,90,800000,15
246,167,Spinarak,,,0.5,8.5,Bug,Poison,50.0,50.0,50,40,60,40,40,40,30,250,0,1,0,0,0,0,1,255,800000,15
247,168,Ariados,,,1.1,33.5,Bug,Poison,50.0,50.0,50,70,90,70,60,70,40,400,0,2,0,0,0,0,2,90,800000,15
248,169,Crobat,,,1.8,75.0,Poison,Flying,50.0,50.0,50,85,90,80,70,80,130,535,0,0,0,0,0,3,3,90,1000000,15
249,170,Chinchou,,,0.5,12.0,Water,Electric,50.0,50.0,50,75,38,38,56,56,67,330,1,0,0,0,0,0,1,190,1250000,20
250,171,Lanturn,,,1.2,22.5,Water,Electric,50.0,50.0,50,125,58,58,76,76,67,460,2,0,0,0,0,0,2,75,1250000,20
251,172,Pichu,,,0.3,2.0,Electric,Electric,50.0,50.0,50,20,40,15,35,35,60,205,0,0,0,0,0,1,1,190,1000000,10
252,173,Cleffa,,,0.3,3.0,Fairy,Fairy,25.0,75.0,140,50,25,28,45,55,15,218,0,0,0,0,1,0,1,150,800000,10
253,174,Igglybuff,,,0.3,1.0,Normal,Fairy,25.0,75.0,50,90,30,15,40,20,15,210,1,0,0,0,0,0,1,170,800000,10
254,175,Togepi,,,0.3,1.5,Fairy,Fairy,87.5,12.5,50,35,20,65,40,65,20,245,0,0,0,0,1,0,1,190,800000,10
255,176,Togetic,,,0.6,3.2,Fairy,Flying,87.5,12.5,50,55,40,85,80,105,40,405,0,0,0,0,2,0,2,75,800000,10
256,177,Natu,,,0.2,2.0,Psychic,Flying,50.0,50.0,50,40,50,45,70,45,70,320,0,0,0,1,0,0,1,190,1000000,20
257,178,Xatu,,,1.5,15.0,Psychic,Flying,50.0,50.0,50,65,75,70,95,70,95,470,0,0,0,1,0,1,2,75,1000000,20
258,179,Mareep,,,0.6,7.8,Electric,Electric,50.0,50.0,50,55,40,40,65,45,35,280,0,0,0,1,0,0,1,235,1059860,20
259,180,Flaaffy,,,0.8,13.3,Electric,Electric,50.0,50.0,50,70,55,55,80,60,45,365,0,0,0,2,0,0,2,120,1059860,20
260,181,Ampharos,,,1.4,61.5,Electric,Electric,50.0,50.0,50,90,75,85,115,90,55,510,0,0,0,3,0,0,3,45,1059860,20
261,181,"""Mega"" Ampharos",280.0,,1.4,61.5,Electric,Dragon,50.0,50.0,70,90,95,105,165,110,45,610,0,0,0,3,0,0,3,45,1059860,20
262,182,Bellossom,,,0.4,5.8,Grass,Grass,50.0,50.0,50,75,80,95,90,100,50,490,0,0,0,0,3,0,3,45,1059860,20
263,183,Marill,,,0.4,8.5,Water,Fairy,50.0,50.0,50,70,20,50,20,50,40,250,2,0,0,0,0,0,2,190,800000,10
264,184,Azumarill,,,0.8,28.5,Water,Fairy,50.0,50.0,50,100,50,80,60,80,50,420,3,0,0,0,0,0,3,75,800000,10
265,185,Sudowoodo,,,1.2,38.0,Rock,Rock,50.0,50.0,50,70,110,115,30,65,30,420,0,0,2,0,0,0,2,65,1000000,20
266,186,Politoed,,,1.1,33.9,Water,Water,50.0,50.0,50,90,75,75,90,100,70,500,0,0,0,0,3,0,3,45,1059860,20
267,187,Hoppip,,,0.4,0.5,Grass,Flying,50.0,50.0,50,35,35,40,35,55,50,250,0,0,0,0,1,0,1,255,1059860,20
268,188,Skiploom,,,0.6,1.0,Grass,Flying,50.0,50.0,50,55,45,50,45,65,80,340,0,0,0,0,0,2,2,120,1059860,20
269,189,Jumpluff,,,0.8,3.0,Grass,Flying,50.0,50.0,50,75,55,70,55,95,110,460,0,0,0,0,0,3,3,45,1059860,20
270,190,Aipom,,,0.8,11.5,Normal,Normal,50.0,50.0,50,55,70,55,40,55,85,360,0,0,0,0,0,1,1,45,800000,20
271,191,Sunkern,,,0.3,1.8,Grass,Grass,50.0,50.0,50,30,30,30,30,30,30,180,0,0,0,1,0,0,1,235,1059860,20
272,192,Sunflora,,,0.8,8.5,Grass,Grass,50.0,50.0,50,75,75,55,105,85,30,425,0,0,0,2,0,0,2,120,1059860,20
273,193,Yanma,,,1.2,38.0,Bug,Flying,50.0,50.0,50,65,65,45,75,45,95,390,0,0,0,0,0,1,1,75,1000000,20
274,194,Wooper,,,0.4,8.5,Water,Ground,50.0,50.0,50,55,45,45,25,25,15,210,1,0,0,0,0,0,1,255,1000000,20
275,194,"""Paldea"" Wooper",294.0,,0.4,11.0,Poison,Ground,50.0,50.0,70,55,45,45,25,25,15,210,1,0,0,0,0,0,1,255,1000000,20
276,195,Quagsire,,,1.4,75.0,Water,Ground,50.0,50.0,50,95,85,85,65,65,35,430,2,0,0,0,0,0,2,90,1000000,20
277,196,Espeon,,,0.9,26.5,Psychic,Psychic,87.5,12.5,50,65,65,60,130,95,110,525,0,0,0,2,0,0,2,45,1000000,35
278,197,Umbreon,,,1.0,27.0,Dark,Dark,87.5,12.5,35,95,65,110,60,130,65,525,0,0,0,0,2,0,2,45,1000000,35
279,198,Murkrow,,,0.5,2.1,Dark,Flying,50.0,50.0,35,60,85,42,85,42,91,405,0,0,0,0,0,1,1,30,1059860,20
280,199,Slowking,,,2.0,79.5,Water,Psychic,50.0,50.0,50,95,75,80,100,110,30,490,0,0,0,0,3,0,3,70,1000000,20
281,199,"""Galar"" Slowking",299.0,,1.8,79.5,Poison,Psychic,50.0,50.0,50,95,65,80,110,110,30,490,0,0,0,0,2,0,2,70,1000000,20
282,200,Misdreavus,,,0.7,1.0,Ghost,Ghost,50.0,50.0,35,60,60,60,85,85,85,435,0,0,0,0,1,0,1,45,800000,25
283,201,Unown,,,0.5,5.0,Psychic,Psychic,0.0,0.0,50,48,72,48,72,48,48,336,0,1,0,1,0,0,2,225,1000000,40
284,201,"""A"" Unown",325.0,,0.5,5.0,Psychic,Psychic,0.0,0.0,50,48,72,48,72,48,48,336,0,1,0,1,0,0,2,225,1000000,40
285,201,"""B"" Unown",325.0,,0.5,5.0,Psychic,Psychic,0.0,0.0,50,48,72,48,72,48,48,336,0,1,0,1,0,0,2,225,1000000,40
286,201,"""C"" Unown",325.0,,0.5,5.0,Psychic,Psychic,0.0,0.0,50,48,72,48,72,48,48,336,0,1,0,1,0,0,2,225,1000000,40
287,201,"""D"" Unown",325.0,,0.5,5.0,Psychic,Psychic,0.0,0.0,50,48,72,48,72,48,48,336,0,1,0,1,0,0,2,225,1000000,40
288,201,"""E"" Unown",325.0,,0.5,5.0,Psychic,Psychic,0.0,0.0,50,48,72,48,72,48,48,336,0,1,0,1,0,0,2,225,1000000,40
289,201,"""G"" Unown",325.0,,0.5,5.0,Psychic,Psychic,0.0,0.0,50,48,72,48,72,48,48,336,0,1,0,1,0,0,2,225,1000000,40
290,201,"""H"" Unown",325.0,,0.5,5.0,Psychic,Psychic,0.0,0.0,50,48,72,48,72,48,48,336,0,1,0,1,0,0,2,225,1000000,40
291,201,"""I"" Unown",325.0,,0.5,5.0,Psychic,Psychic,0.0,0.0,50,48,72,48,72,48,48,336,0,1,0,1,0,0,2,225,1000000,40
292,201,"""J"" Unown",325.0,,0.5,5.0,Psychic,Psychic,0.0,0.0,50,48,72,48,72,48,48,336,0,1,0,1,0,0,2,225,1000000,40
293,201,"""K"" Unown",325.0,,0.5,5.0,Psychic,Psychic,0.0,0.0,50,48,72,48,72,48,48,336,0,1,0,1,0,0,2,225,1000000,40
294,201,"""L"" Unown",325.0,,0.5,5.0,Psychic,Psychic,0.0,0.0,50,48,72,48,72,48,48,336,0,1,0,1,0,0,2,225,1000000,40
295,201,"""M"" Unown",325.0,,0.5,5.0,Psychic,Psychic,0.0,0.0,50,48,72,48,72,48,48,336,0,1,0,1,0,0,2,225,1000000,40
296,201,"""N"" Unown",325.0,,0.5,5.0,Psychic,Psychic,0.0,0.0,50,48,72,48,72,48,48,336,0,1,0,1,0,0,2,225,1000000,40
297,201,"""O"" Unown",325.0,,0.5,5.0,Psychic,Psychic,0.0,0.0,50,48,72,48,72,48,48,336,0,1,0,1,0,0,2,225,1000000,40
298,201,"""P"" Unown",325.0,,0.5,5.0,Psychic,Psychic,0.0,0.0,50,48,72,48,72,48,48,336,0,1,0,1,0,0,2,225,1000000,40
299,201,"""Q"" Unown",325.0,,0.5,5.0,Psychic,Psychic,0.0,0.0,50,48,72,48,72,48,48,336,0,1,0,1,0,0,2,225,1000000,40
300,201,"""R"" Unown",325.0,,0.5,5.0,Psychic,Psychic,0.0,0.0,50,48,72,48,72,48,48,336,0,1,0,1,0,0,2,225,1000000,40
301,201,"""S"" Unown",325.0,,0.5,5.0,Psychic,Psychic,0.0,0.0,50,48,72,48,72,48,48,336,0,1,0,1,0,0,2,225,1000000,40
302,201,"""T"" Unown",325.0,,0.5,5.0,Psychic,Psychic,0.0,0.0,50,48,72,48,72,48,48,336,0,1,0,1,0,0,2,225,1000000,40
303,201,"""U"" Unown",325.0,,0.5,5.0,Psychic,Psychic,0.0,0.0,50,48,72,48,72,48,48,336,0,1,0,1,0,0,2,225,1000000,40
304,201,"""V"" Unown",325.0,,0.5,5.0,Psychic,Psychic,0.0,0.0,50,48,72,48,72,48,48,336,0,1,0,1,0,0,2,225,1000000,40
305,201,"""W"" Unown",325.0,,0.5,5.0,Psychic,Psychic,0.0,0.0,50,48,72,48,72,48,48,336,0,1,0,1,0,0,2,225,1000000,40
306,201,"""X"" Unown",325.0,,0.5,5.0,Psychic,Psychic,0.0,0.0,50,48,72,48,72,48,48,336,0,1,0,1,0,0,2,225,1000000,40
307,201,"""Y"" Unown",325.0,,0.5,5.0,Psychic,Psychic,0.0,0.0,50,48,72,48,72,48,48,336,0,1,0,1,0,0,2,225,1000000,40
308,201,"""Z"" Unown",325.0,,0.5,5.0,Psychic,Psychic,0.0,0.0,50,48,72,48,72,48,48,336,0,1,0,1,0,0,2,225,1000000,40
309,201,"""!"" Unown",325.0,,0.5,5.0,Psychic,Psychic,0.0,0.0,50,48,72,48,72,48,48,336,0,1,0,1,0,0,2,225,1000000,40
310,201,"""?"" Unown",325.0,,0.5,5.0,Psychic,Psychic,0.0,0.0,50,48,72,48,72,48,48,336,0,1,0,1,0,0,2,225,1000000,40
311,202,Wobbuffet,,,1.3,28.5,Psychic,Psychic,50.0,50.0,50,190,33,58,33,58,33,405,2,0,0,0,0,0,2,45,1000000,20
312,203,Girafarig,,,1.5,41.5,Normal,Psychic,50.0,50.0,50,70,80,65,90,65,85,455,0,0,0,2,0,0,2,60,1000000,20
313,204,Pineco,,,0.6,7.2,Bug,Bug,50.0,50.0,50,50,65,90,35,35,15,290,0,0,1,0,0,0,1,190,1000000,20
314,205,Forretress,,,1.2,125.8,Bug,Steel,50.0,50.0,50,75,90,140,60,60,40,465,0,0,2,0,0,0,2,75,1000000,20
315,206,Dunsparce,,,1.5,14.0,Normal,Normal,50.0,50.0,50,100,70,70,65,65,45,415,1,0,0,0,0,0,1,190,1000000,20
316,207,Gligar,,,1.1,64.8,Ground,Flying,50.0,50.0,50,65,75,105,35,65,85,430,0,0,1,0,0,0,1,60,1059860,20
317,208,Steelix,,,9.2,400.0,Steel,Ground,50.0,50.0,50,75,85,200,55,65,30,510,0,0,2,0,0,0,2,25,1000000,25
318,208,"""Mega"" Steelix",332.0,,10.5,740.0,Steel,Ground,50.0,50.0,70,75,125,230,55,95,30,610,0,0,2,0,0,0,2,25,1000000,25
319,209,Snubbull,,,0.6,7.8,Fairy,Fairy,25.0,75.0,50,60,80,50,40,40,30,300,0,1,0,0,0,0,1,190,800000,20
320,210,Granbull,,,1.4,48.7,Fairy,Fairy,25.0,75.0,50,90,120,75,60,60,45,450,0,2,0,0,0,0,2,75,800000,20
321,211,Qwilfish,,,0.5,3.9,Water,Poison,50.0,50.0,50,65,95,85,55,55,85,440,0,1,0,0,0,0,1,45,1000000,20
322,211,"""Hisui"" Qwilfish",335.0,,0.5,3.9,Dark,Poison,50.0,50.0,50,65,95,85,55,55,85,440,0,1,0,0,0,0,1,235,1000000,20
323,212,Scizor,,,1.8,118.0,Bug,Steel,50.0,50.0,50,70,130,100,55,80,65,500,0,2,0,0,0,0,2,25,1000000,25
324,212,"""Mega"" Scizor",336.0,,2.0,125.0,Bug,Steel,50.0,50.0,70,70,150,140,65,100,75,600,0,2,0,0,0,0,2,25,1000000,25
325,213,Shuckle,,,0.6,20.5,Bug,Rock,50.0,50.0,50,20,10,230,10,230,5,505,0,0,1,0,1,0,2,190,1059860,20
326,214,Heracross,,,1.5,54.0,Bug,Fighting,50.0,50.0,50,80,125,75,40,95,85,500,0,2,0,0,0,0,2,45,1250000,25
327,214,"""Mega"" Heracross",338.0,,1.7,62.5,Bug,Fighting,50.0,50.0,70,80,185,115,40,105,75,600,0,2,0,0,0,0,2,45,1250000,25
328,215,Sneasel,,,0.9,28.0,Dark,Ice,50.0,50.0,35,55,95,55,35,75,115,430,0,0,0,0,0,1,1,60,1059860,20
329,215,"""Hisui"" Sneasel",339.0,,0.9,27.0,Fighting,Poison,50.0,50.0,35,55,95,55,35,75,115,430,0,0,0,0,0,1,1,235,1059860,20
330,216,Teddiursa,,,0.6,8.8,Normal,Normal,50.0,50.0,50,60,80,50,50,50,40,330,0,1,0,0,0,0,1,120,1000000,20
331,217,Ursaring,,,1.8,125.8,Normal,Normal,50.0,50.0,50,90,130,75,75,75,55,500,0,2,0,0,0,0,2,60,1000000,20
332,218,Slugma,,,0.7,35.0,Fire,Fire,50.0,50.0,50,40,40,40,70,40,20,250,0,0,0,1,0,0,1,190,1000000,20
333,219,Magcargo,,,0.8,55.0,Fire,Rock,50.0,50.0,50,60,50,120,90,80,30,430,0,0,2,0,0,0,2,75,1000000,20
334,220,Swinub,,,0.4,6.5,Ice,Ground,50.0,50.0,50,50,50,40,30,30,50,250,0,1,0,0,0,0,1,225,1250000,20
335,221,Piloswine,,,1.1,55.8,Ice,Ground,50.0,50.0,50,100,100,80,60,60,50,450,1,1,0,0,0,0,2,75,1250000,20
336,222,Corsola,,,0.6,5.0,Water,Rock,25.0,75.0,50,65,55,95,65,95,35,410,0,0,1,0,1,0,2,60,800000,20
337,222,"""Galar"" Corsola",346.0,,0.6,0.5,Ghost,Ghost,25.0,75.0,50,60,55,100,65,100,30,410,0,0,1,0,1,0,2,60,800000,20
338,223,Remoraid,,,0.6,12.0,Water,Water,50.0,50.0,50,35,65,35,65,35,65,300,0,0,0,1,0,0,1,190,1000000,20
339,224,Octillery,,,0.9,28.5,Water,Water,50.0,50.0,50,75,105,75,105,75,45,480,0,1,0,1,0,0,2,75,1000000,20
340,225,Delibird,,,0.9,16.0,Ice,Flying,50.0,50.0,50,45,55,45,65,45,75,330,0,0,0,0,0,1,1,45,800000,20
341,226,Mantine,,,2.1,220.0,Water,Flying,50.0,50.0,50,85,40,70,80,140,70,485,0,0,0,0,2,0,2,25,1250000,25
342,227,Skarmory,,,1.7,50.5,Steel,Flying,50.0,50.0,50,65,80,140,40,70,70,465,0,0,2,0,0,0,2,25,1250000,25
343,228,Houndour,,,0.6,10.8,Dark,Fire,50.0,50.0,35,45,60,30,80,50,65,330,0,0,0,1,0,0,1,120,1250000,20
344,229,Houndoom,,,1.4,35.0,Dark,Fire,50.0,50.0,35,75,90,50,110,80,95,500,0,0,0,2,0,0,2,45,1250000,20
345,229,"""Mega"" Houndoom",353.0,,1.9,49.5,Dark,Fire,50.0,50.0,35,75,90,90,140,90,115,600,0,0,0,2,0,0,2,45,1250000,20
346,230,Kingdra,,,1.8,152.0,Water,Dragon,50.0,50.0,50,75,95,95,95,95,85,540,0,1,0,1,1,0,3,45,1000000,20
347,231,Phanpy,,,0.5,33.5,Ground,Ground,50.0,50.0,50,90,60,60,40,40,40,330,1,0,0,0,0,0,1,120,1000000,20
348,232,Donphan,,,1.1,120.0,Ground,Ground,50.0,50.0,50,90,120,120,60,60,50,500,0,1,1,0,0,0,2,60,1000000,20
349,233,Porygon2,,,0.6,32.5,Normal,Normal,0.0,0.0,50,85,80,90,105,95,60,515,0,0,0,2,0,0,2,45,1000000,20
350,234,Stantler,,,1.4,71.2,Normal,Normal,50.0,50.0,50,73,95,62,85,65,85,465,0,1,0,0,0,0,1,45,1250000,20
351,235,Smeargle,,,1.2,58.0,Normal,Normal,50.0,50.0,50,55,20,35,20,45,75,250,0,0,0,0,0,1,1,45,800000,20
352,236,Tyrogue,,,0.7,21.0,Fighting,Fighting,100.0,0.0,50,35,35,35,35,35,35,210,0,1,0,0,0,0,1,75,1000000,25
353,237,Hitmontop,,,1.4,48.0,Fighting,Fighting,100.0,0.0,50,50,95,95,35,110,70,455,0,0,0,0,2,0,2,45,1000000,25
